127.0.0.1 - - [31/Aug/2022:19:14:17 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:14:20 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:14:44 -0300] "POST /Lojinha/respondedorCadastro.jsp HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:25:53 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:25:56 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:26:02 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:26:17 -0300] "POST /Lojinha/respondedorCadastro.jsp HTTP/1.1" 500 2616
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:27:07 -0300] "POST /Lojinha/respondedorCadastro.jsp HTTP/1.1" 500 2616
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:27:45 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:27:49 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:27:55 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:27:59 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:28:08 -0300] "GET /Lojinha/cadastrar.jsp HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [31/Aug/2022:19:28:42 -0300] "POST /Lojinha/respondedorCadastro.jsp HTTP/1.1" 200 37
